usertw,datetw,followers
Enrique_GomezM,2022-05-29 08:00:39.785048,37196
EnriquePenalosa,2022-05-29 08:00:39.785048,1992485
ingrodolfohdez,2022-05-29 08:00:39.785048,221231
ZelenskyyUa,2022-05-29 08:00:39.785048,6300691
German_Vargas,2022-05-29 08:00:39.785048,881657
UCompensar,2022-05-29 08:00:39.785048,7189
sergio_fajardo,2022-05-29 08:00:39.785048,1663663
realamberheard,2022-05-29 08:00:39.785048,242779
marcollinasvolp,2022-05-29 08:00:39.785048,313
JohnMiltonR_,2022-05-29 08:00:39.785048,42640
AlvaroUribeVel,2022-05-30 08:00:26.209918,5039359
petrogustavo,2022-05-30 08:00:26.209918,4956914
FicoGutierrez,2022-05-30 08:00:26.209918,909580
FranciaMarquezM,2022-05-30 08:00:26.209918,462128
Enrique_GomezM,2022-05-30 08:00:26.209918,38008
EnriquePenalosa,2022-05-30 08:00:26.209918,1993014
ingrodolfohdez,2022-05-30 08:00:26.209918,248295
ZelenskyyUa,2022-05-30 08:00:26.209918,6303277
German_Vargas,2022-05-30 08:00:26.209918,881841
UCompensar,2022-05-30 08:00:26.209918,7188
sergio_fajardo,2022-05-30 08:00:26.209918,1666144
realamberheard,2022-05-30 08:00:26.209918,244606
marcollinasvolp,2022-05-30 08:00:26.209918,313
JohnMiltonR_,2022-05-30 08:00:26.209918,42868
AlvaroUribeVel,2022-05-31 08:00:31.741296,5044766
petrogustavo,2022-05-31 08:00:31.741296,4979248
FicoGutierrez,2022-05-31 08:00:31.741296,911542
Enrique_GomezM,2022-05-31 08:00:31.741296,38451
ingrodolfohdez,2022-05-31 08:00:31.741296,284304
German_Vargas,2022-05-31 08:00:31.741296,882061
sergio_fajardo,2022-05-31 08:00:31.741296,1669317
marcollinasvolp,2022-05-31 08:00:31.741296,313
FranciaMarquezM,2022-05-31 08:00:31.741296,470739
EnriquePenalosa,2022-05-31 08:00:31.741296,1993738
ZelenskyyUa,2022-05-31 08:00:31.741296,6304198
UCompensar,2022-05-31 08:00:31.741296,7190
realamberheard,2022-05-31 08:00:31.741296,246269
JohnMiltonR_,2022-05-31 08:00:31.741296,43004
AlvaroUribeVel,2022-06-01 08:00:33.620531,5047038
petrogustavo,2022-06-01 08:00:33.620531,4994446
FicoGutierrez,2022-06-01 08:00:33.620531,913096
FranciaMarquezM,2022-06-01 08:00:33.620531,477113
Enrique_GomezM,2022-06-01 08:00:33.620531,38972
EnriquePenalosa,2022-06-01 08:00:33.620531,1994415
ingrodolfohdez,2022-06-01 08:00:33.620531,306596
ZelenskyyUa,2022-06-01 08:00:33.620531,6306739
German_Vargas,2022-06-01 08:00:33.620531,882257
UCompensar,2022-06-01 08:00:33.620531,7192
